페이지,픅징,문형,문형 뜻,예문,예문 뜻,예문 요미가나
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～おかげだ,~덕분이다,いろいろな場所に旅行に行けるのは、運転ができるおかげだ。,여러 장소에 여행을 갈 수 있는 것은 운전이 가능한 덕분이다。,いろいろな場所[ばしょ]に旅行[りょこう]に行[い]けるのは、運転[うんてん]ができるおかげだ。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～おかげだ,~덕분이다,今日、かばんが軽いのは、いつもより授業が少ないおかげだ。,오늘 가방이 가벼운 것은 평소보다 수업이 적은 덕분이다。,今日[きょう]、かばんが軽[かる]いのは、いつもより授業[じゅぎょう]が少[すく]ないおかげだ。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～おかげだ,~덕분이다,子供が無事だったのはあなたのおかげです。,아이가 무사한 것은 당신 덕분입니다。,子供[こども]が無事[ぶじ]だったのはあなたのおかげです。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かもしれない,~일지도 모른다,犯人は事件現場にまた現れるかもしれない。,범인은 사건 현장에 다시 나타날지도 모른다。,犯人[はんにん]は事件[じけん]現場[げんば]にまた現[あら]れるかもしれない。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かもしれない,~일지도 모른다,彼は料理が下手かもしれない。,그는 요리가 서툴지도 모른다。,彼[かれ]は料理[りょうり]が下手[へた]かもしれない。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かもしれない,~일지도 모른다,思ったより面白いかもしれない。,생각보다 재미있을지도 몰라。,思[おも]ったより面白[おもしろ]いかもしれない。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かもしれない,~일지도 모른다,あの人はいろいろな病気について詳しいから医者かもしれない。,저 사람은 다양한 병에 대해 잘 알고 있기 때문에 의사일지도 모른다。,あの人[ひと]はいろいろな病気[びょうき]について詳[くわ]しいから医者[いしゃ]かもしれない。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かどうか,~인지 어떤지,この仕事を新人に任せるかどうか、もう一度考えないといけない。,이 일을 신입사원에게 맡길지 어떨지 다시 생각해야 한다。,この仕事[しごと]を新人[しんじん]に任[まか]せるかどうか、もう一度[いちど]考[かんが]えないといけない。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かどうか,~인지 어떤지,あの子がいたずらっ子かどうかなんて友達の僕が一番よく知っている。,저 아이가 짓궂은지 어떤지 따위 친구인 내가 가장 잘 알고 있습니다。,あの子[こ]がいたずらっ子[こ]かどうかなんて友達[ともだち]の僕[ぼく]が一番[いちばん]よく知[し]っている。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かどうか,~인지 어떤지,その映画が面白いかどうかは見てみないと分からない。,그 영화가 재미있는지 어떤지는 봐 보지 않으면 모른다。,その映画[えいが]が面白[おもしろ]いかどうかは見[み]てみないと分[わ]からない。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かどうか,~인지 어떤지,来週の遠足が中止になるかどうかは当日の天気で決まります。,다음 주 소풍이 중지될지 어떨지는 당일의 날씨로 결정됩니다。,来週[らいしゅう]の遠足[えんそく]が中止[ちゅうし]になるかどうかは当日[とうじつ]の天気[てんき]で決[き]まります。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～がる,"~하고 싶어하다, ~해 하다",祖父は孫に会いたがっている。,할아버지는 손자를 보고 싶어 하고 있다。,祖父[そふ]は孫[まご]に会[あ]いたがっている。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～がる,"~하고 싶어하다, ~해 하다",子供が犬を不安がるので、大きな音で驚かないでくれませんか。,"아이가 개를 불안해하기 때문에, 큰 소리로 놀라지 말아 주시겠습니까?",子供[こども]が犬[いぬ]を不安[ふあん]がるので、大[おお]きな音[おと]で驚[おどろ]かないでくれませんか。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～がる,"~하고 싶어하다, ~해 하다",妹は犬を怖がる。,여동생은 개를 무서워한다。,妹[いもうと]は犬[いぬ]を怖[こわ]がる。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～すぎる,너무 ~하다,チョコレートは冷やしすぎると固くなりすぎる。,초콜릿을 너무 식히면 너무 딱딱해진다。,チョコレート[ちょこれーと]は冷[ひ]やしすぎると固[かた]くなりすぎる。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～すぎる,너무 ~하다,彼女はいつも上品すぎて、ただの一般人とは思えない。,"그녀는 항상 너무 고상해서, 그저 일반인이라고는 생각할 수 없다。",彼女[かのじょ]はいつも上品[じょうひん]すぎて、ただの一般人[いっぱんじん]とは思[おも]えない。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～すぎる,너무 ~하다,このコーヒーは熱すぎる。,이 커피는 너무 뜨겁다。,このコーヒー[こーひー]は熱[あつ]すぎる。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～すぎる,너무 ~하다,もらったお米が大量すぎて一人では食べられません。,받은 쌀이 너무 많아서 혼자서는 먹을 수 없습니다。,もらったお米[こめ]が大量[たいりょう]すぎて一人[ひとり]では食[た]べられません。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～だろう,"~일 것이다, ~겠지",来週には桜が咲くだろう。,다음 주에는 벚꽃이 피겠지。,来週[らいしゅう]には桜[さくら]が咲[さ]くだろう。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～だろう,"~일 것이다, ~겠지",この試合に負けても優勝できるので気楽だろう。,이 경기에서 져도 우승할 수 있어서 마음이 편하겠지。,この試合[しあい]に負[ま]けても優勝[ゆうしょう]できるので気楽[きらく]だろう。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～だろう,"~일 것이다, ~겠지",熱が下がったばかりでまだ体がだるいだろう。,열이 내린 직후라서 아직 몸이 나른하겠지。,熱[ねつ]が下[さ]がったばかりでまだ体[からだ]がだるいだろう。
JLPT_N3_암기장::73p,[여러 품사 뒤에 접속하는 문형],～だろう,"~일 것이다, ~겠지",留学して1年、そろそろ帰国するさだろう。,"유학한 지 1년, 슬슬 귀국할 때겠지。",留学[りゅうがく]して1年[いちねん]、そろそろ帰国[きこく]するさだろう。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～に決まっている,"당연히 ~이다, ~으로 정해져 있다",遅刻したら、先生は怒るに決まっている。,"지각했다면, 선생님은 화를 내는 것이 당연하다。",遅刻[ちこく]したら、先生[せんせい]は怒[おこ]るに決[き]まっている。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～に決まっている,"당연히 ~이다, ~으로 정해져 있다",彼女が作った料理だから、おいしいに決まっている。,"그녀가 만든 요리니까, 맛있는 것이 당연하다。",彼女[かのじょ]が作[つく]った料理[りょうり]だから、おいしいに決[き]まっている。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～に決まっている,"당연히 ~이다, ~으로 정해져 있다",今年の優勝は彼に決まっている。,올해의 우승은 그로 정해져 있다。,今年[ことし]の優勝[ゆうしょう]は彼[かれ]に決[き]まっている。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～に違いない,~임에 틀림없다,あの俳優は今年きっと売れるに違いない。,저 배우는 올해 반드시 인기를 끌 것이 틀림없다。,あの俳優[はいゆう]は今年[ことし]きっと売[う]れるに違[ちが]いない。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～に違いない,~임에 틀림없다,私が想像するよりも子供を育てることは大変に違いない。,내가 상상하는 것보다 아이를 키우는 것은 힘든 일이 틀림없다。,私[わたし]が想像[そうぞう]するよりも子供[こども]を育[そだ]てることは大変[たいへん]に違[ちが]いない。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～に違いない,~임에 틀림없다,今回の試験は難しかったに違いない。,이번 시험은 어려웠음에 틀림없다。,今回[こんかい]の試験[しけん]は難[むずか]しかったに違[ちが]いない。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～に違いない,~임에 틀림없다,まさか私が代表だなんて。きっと冗談に違いない。,설마 내가 대표라니. 틀림없이 농담이다。,まさか私[わたし]が代表[だいひょう]だなんて。きっと冗談[じょうだん]に違[ちが]いない。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～に行く,~하러 가다,コンビニにパンを買いに行った。,편의점에 빵을 사러 갔다。,コンビニ[こんびに]にパン[ぱん]を買[か]いに行[い]った。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～に行く,~하러 가다,週末は家族みんなで外食に行くことになっている。,주말에는 가족 모두 외식하러 가기로 되어 있다。,週末[しゅうまつ]は家族[かぞく]みんなで外食[がいしょく]に行[い]くことになっている。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～にしたがって,~에 따라,高度が上昇するにしたがって気圧は下がる。,고도가 상승함에 따라 기압이 내려간다。,高度[こうど]が上昇[じょうしょう]するにしたがって気圧[きあつ]は下[さ]がる。
JLPT_N3_암기장::74p,[여러 품사 뒤에 접속하는 문형],～にしたがって,~에 따라,先生の合図にしたがって生徒たちは同時に歩き出した。,선생님의 신호에 따라 학생들이 동시에 걷기 시작했다。,先生[せんせい]の合図[あいず]にしたがって生徒[せいと]たちは同時[どうじ]に歩[ある]き出[だ]した。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～のです（～んです）,"~인 것입니다, ~입니다",来週、試合なのにちっとも練習に来ないで何をやっていたのですか。,다음 주에 시합인데 전혀 연습에 오지 않고 무엇을 하고 있었던 겁니까?,来週[らいしゅう]、試合[しあい]なのにちっとも練習[れんしゅう]に来[こ]ないで何[なに]をやっていたのですか。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～のです（～んです）,"~인 것입니다, ~입니다",この店はお昼だけ飲み物のおかわりが無料なんですよ。,이 가게는 점심시간만 음료 리필이 무료입니다。,この店[みせ]はお昼[ひる]だけ飲[の]み物[もの]のおかわりが無料[むりょう]なんですよ。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～のです（～んです）,"~인 것입니다, ~입니다",昨日からご飯も食べなくてなんか様子がおかしいのです。,어제부터 밥도 먹지 않고 뭔가 상태가 이상합니다。,昨日[きのう]からご飯[ごはん]も食[た]べなくてなんか様子[ようす]がおかしいのです。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～のです（～んです）,"~인 것입니다, ~입니다",女子サッカー選手になることが昔から私の夢なんです。,여자 축구선수가 되는 것이 예전부터 저의 꿈입니다。,女子[じょし]サッカー[さっかー]選手[せんしゅ]になることが昔[むかし]から私[わたし]の夢[ゆめ]なんです。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～はずだ,~일 것이다,この地域は地震がよく起きるので普段から備えているはずです。,이 지역은 지진이 자주 발생하므로 평소부터 대비하고 있을 것입니다。,この地域[ちいき]は地震[じしん]がよく起[お]きるので普段[ふだん]から備[そな]えているはずです。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～はずだ,~일 것이다,昨日スーパーで買ったばかりの卵だから新鮮なはずだ。,어제 슈퍼에서 막 산 계란이므로 신선할 것이다。,昨日[きのう]スーパー[すーぱー]で買[か]ったばかりの卵[たまご]だから新鮮[しんせん]なはずだ。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～はずだ,~일 것이다,今日は朝からずっと会議があると言っていたから忙しいはずです。,오늘은 아침부터 계속 회의가 있다고 했으니 바쁠 것입니다。,今日[きょう]は朝[あさ]からずっと会議[かいぎ]があると言[い]っていたから忙[いそが]しいはずです。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～はずだ,~일 것이다,今年はあの子も卒業のはずだ。,올해는 저 아이도 졸업할 것이다。,今年[ことし]はあの子[こ]も卒業[そつぎょう]のはずだ。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～はずがない,~일 리가 없다,歴史に詳しい君が知らないはずがない。,역사에 정통한 네가 모를 리가 없다。,歴史[れきし]に詳[くわ]しい君[きみ]が知ら[し]ないはずがない。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～はずがない,~일 리가 없다,友達に頼ることが迷惑なはずがない。,친구에게 의지하는 것이 폐가 될 리가 없다。,友達[ともだち]に頼[たよ]ることが迷惑[めいわく]なはずがない。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～はずがない,~일 리가 없다,病院でもらった薬を飲んでいるから痛いはずがありません。,병원에서 받은 약을 먹고 있으므로 아플 리가 없습니다。,病院[びょういん]でもらった薬[くすり]を飲[の]んでいるから痛[いた]いはずがありません。
JLPT_N3_암기장::75p,[여러 품사 뒤에 접속하는 문형],～はずがない,~일 리가 없다,部屋の明かりがついているから留守のはずがないと思う。,방에 불이 켜져 있으니 집을 비운 상태일 리가 없다고 생각한다。,部屋[へや]の明[あ]かりがついているから留守[るす]のはずがないと思[おも]う。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～ないといけない,~(하)지 않으면 안된다,痛みがない時も薬を飲まないといけないのでしょうか。,통증이 없을 때도 약을 먹지 않으면 안 되나요?,痛[いた]みがない時[とき]も薬[くすり]を飲[の]まないといけないのでしょうか。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～ないといけない,~(하)지 않으면 안된다,簡単に勝てる相手ではないので強気でないといけない。,간단히 이길 수 있는 상대가 아니기 때문에 강하지 않으면 안 된다。,簡単[かんたん]に勝[か]てる相手[あいて]ではないので強気[つよき]でないといけない。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～ないといけない,~(하)지 않으면 안된다,時間は3分しかないから発表する内容は短くないといけない。,시간은 3분밖에 없으므로 발표하는 내용은 짧지 않으면 안 된다。,時間[じかん]は3分[さんぷん]しかないから発表[はっぴょう]する内容[ないよう]は短[みじか]くないといけない。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～ないといけない,~(하)지 않으면 안된다,ルールというのはすべての人にとって公平でないといけません。,규칙이란 모든 사람에게 공평하지 않으면 안 됩니다。,ルール[るーる]というのはすべての人[ひと]にとって公平[こうへい]でないといけません。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～なくて,~(하)지 않아서,約束を守らなくて父にひどくしかられました。,약속을 지키지 않아서 아버지께 심하게 혼났습니다。,約束[やくそく]を守[まも]らなくて父[ちち]にひどくしかられました。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～なくて,~(하)지 않아서,友達が来るのに、部屋がきれいでなくて困った。,친구가 오는데 방이 깨끗하지 않아서 곤란했다。,友達[ともだち]が来[く]るのに、部屋[へや]がきれいでなくて困[こま]った。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～なくて,~(하)지 않아서,思ったより高くなくてよかった。,생각보다 비싸지 않아서 다행이었다。,思[おも]ったより高[たか]くなくてよかった。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～なくて,~(하)지 않아서,急いでいたので浅瀬でなくて助かりました。,급히 가야 했으므로 얕은 곳이 아니라서 다행이었다。,急[いそ]いでいたので浅瀬[あさせ]でなくて助[たす]かりました。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～なくてはならない（～なくちゃ）,~(하)지 않으면 안된다,急いで準備しなくちゃ。,서둘러 준비해야 해。,急[いそ]いで準備[じゅんび]しなくちゃ。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～なくてはならない（～なくちゃ）,~(하)지 않으면 안된다,赤ちゃんが使うものは常に清潔でなくてはなりません。,아기가 사용하는 것은 항상 깨끗해야 합니다。,赤[あか]ちゃんが使[つか]うものは常[つね]に清潔[せいけつ]でなくてはなりません。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～なくてはならない（～なくちゃ）,~(하)지 않으면 안된다,学校の先生になるにはまず賢くなくちゃ。,학교 선생님이 되려면 먼저 똑똑해야 해。,学校[がっこう]の先生[せんせい]になるにはまず賢[かしこ]くなくちゃ。
JLPT_N3_암기장::76p,[여러 품사 뒤에 접속하는 문형],～なくてはならない（～なくちゃ）,~(하)지 않으면 안된다,暗証番号は他の人がわからないように複雑でなくてはならない。,비밀번호는 다른 사람이 모르게 복잡해야 한다。,暗証番号[あんしょうばんごう]は他[ほか]の人[ひと]がわからないように複雑[ふくざつ]でなくてはならない。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～なくなってから,~않게 되고 나서,授業中に友達としゃべらなくなってからテストの点数が上がった。,수업 중에 친구와 이야기하지 않게 되고 나서 시험 점수가 올랐다。,授業中[じゅぎょうちゅう]に友達[ともだち]としゃべらなくなってからテスト[てすと]の点数[てんすう]が上[あ]がった。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～なくなってから,~않게 되고 나서,仕事が楽でなくなってから辞めたいと思うようになった。,일이 즐겁지 않게 되고 나서 그만두고 싶다고 생각하게 되었다。,仕事[しごと]が楽[らく]でなくなってから辞[や]めたいと思[おも]うようになった。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～なくなってから,~않게 되고 나서,あの店は安くなくなってからは行っていない。,그 가게는 가격이 저렴하지 않게 되고 나서 가지 않고 있다。,あの店[みせ]は安[やす]くなくなってからは行[い]っていない。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～なくなってから,~않게 되고 나서,学生でなくなってから大学の友達に会うことも少なくなった。,학생이 아니게 되고 나서 대학 친구를 만나는 것도 줄어들었다。,学生[がくせい]でなくなってから大学[だいがく]の友達[ともだち]に会[あ]うことも少[すく]なくなった。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～なければならない,~(하)지 않으면 안된다,上司に報告する時は、話し方に気をつけなければならない。,상사에게 보고할 때는 말투에 신경 써야 한다。,上司[じょうし]に報告[ほうこく]する時[とき]は、話[はな]し方[かた]に気[き]をつけなければならない。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～なければならない,~(하)지 않으면 안된다,正しい判断をするためには冷静でなければならない。,올바른 판단을 하기 위해서는 침착해야 한다。,正[ただ]しい判断[はんだん]をするためには冷静[れいせい]でなければならない。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～なければならない,~(하)지 않으면 안된다,風邪を引かないために冬に着る服は暖かくなければならない。,감기에 걸리지 않기 위해 겨울에 입는 옷은 따뜻해야 한다。,風邪[かぜ]を引[ひ]かないために冬[ふゆ]に着[き]る服[ふく]は暖[あたた]かくなければならない。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～なければならない,~(하)지 않으면 안된다,場所を変更するのであれば連絡は早めにしなければならない。,장소를 변경할 경우에는 연락을 빨리 해야 한다。,場所[ばしょ]を変更[へんこう]するのであれば連絡[れんらく]は早[はや]めにしなければならない。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～ば,~(하)면,どの電車で行けばいちばん便利なのか知っていますか。,어떤 전철로 가면 가장 편리한지 알고 있습니까?,どの電車[でんしゃ]で行[い]けばいちばん便利[べんり]なのか知[し]っていますか。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～ば,~(하)면,命令が絶対ならば無視することはできないでしょう。,명령이 절대적인 것이라면 무시할 수 없겠지요。,命令[めいれい]が絶対[ぜったい]ならば無視[むし]することはできないでしょう。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～ば,~(하)면,僕がテニスができるのならやましければ君も始めるといいよ。,내가 테니스를 할 수 있다면 부끄러워하지 말고 너도 시작하면 좋겠다。,僕[ぼく]がテニス[てにす]ができるのならやましければ君[きみ]も始[はじ]めるといいよ。
JLPT_N3_암기장::77p,[여러 품사 뒤에 접속하는 문형],～ば,~(하)면,この実験が成功ならばそれは大発見です。,이 실험이 성공하면 그것은 대발견입니다。,この実験[じっけん]が成功[せいこう]ならばそれは大発見[だいはっけん]です。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ば～ほど,~하면 할수록,考えれば考えるほどむずかしいね。,생각하면 할수록 어려워。,考[かんが]えれば考[かんが]えるほどむずかしいね。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ば～ほど,~하면 할수록,必死であればあるほど同時に不安にもなるものです。,필사적이면 필사적일수록 동시에 불안해지기 마련입니다。,必死[ひっし]であればあるほど同時[どうじ]に不安[ふあん]にもなるものです。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ば～ほど,~하면 할수록,人は悔しければ悔しいほど努力をする生物だ。,사람은 분하면 분할수록 노력하는 생물이다。,人[ひと]は悔[く]しければ悔[く]しいほど努力[どりょく]をする生物[せいぶつ]だ。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ば～ほど,~하면 할수록,何かに夢中であればあるほど周りが見えなくなりやすい。,무언가에 몰두하면 할수록 주변이 보이지 않게 되기 쉽다。,何[なに]かに夢中[むちゅう]であればあるほど周[まわ]りが見[み]えなくなりやすい。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ばよかった,~(할) 걸 그랬다,私も行けばよかった。,나도 갔으면 좋았을 텐데。,私[わたし]も行[い]けばよかった。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ばよかった,~(할) 걸 그랬다,この割引券がまだ有効ならばよかったのに。,이 할인권이 아직 유효했으면 좋았을 텐데。,この割引券[わりびきけん]がまだ有効[ゆうこう]ならばよかったのに。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ばよかった,~(할) 걸 그랬다,自分がもう少し絵画について詳しければよかったと思った。,내가 좀 더 그림에 대해 잘 알았으면 좋았을 텐데라고 생각했다。,自分[じぶん]がもう少[すこ]し絵画[かいが]について詳[くわ]しければよかったと思[おも]った。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ばよかった,~(할) 걸 그랬다,現実じゃなくて夢ならばよかったのに何度も思う。,현실이 아니라 꿈이었으면 좋았을 텐데라고 몇 번이나 생각한다。,現実[げんじつ]じゃなくて夢[ゆめ]ならばよかったのに何度[なんど]も思[おも]う。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ばかりか,~뿐만 아니라,親切な若者は道を教えてくれたばかりか荷物も運んでくれました。,친절한 젊은이는 길을 알려준 것뿐만 아니라 짐도 옮겨 주었습니다。,親切[しんせつ]な若者[わかもの]は道[みち]を教[おし]えてくれたばかりか荷物[にもつ]も運[はこ]んでくれました。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ばかりか,~뿐만 아니라,寝ることは体の健康にとって重要なばかりか心の健康にも重要だ。,자는 것은 신체 건강에 중요할 뿐만 아니라 정신 건강에도 중요하다。,寝[ね]ることは体[からだ]の健康[けんこう]にとって重要[じゅうよう]なばかりか心[こころ]の健康[けんこう]にも重要[じゅうよう]だ。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ばかりか,~뿐만 아니라,あのホテルは部屋がきたないばかりか、値段も高かった。,저 호텔은 방이 더러울 뿐만 아니라 가격도 비쌌다。,あのホテル[ほてる]は部屋[へや]がきたないばかりか、値段[ねだん]も高[たか]かった。
JLPT_N3_암기장::78p,[여러 품사 뒤에 접속하는 문형],～ばかりか,~뿐만 아니라,先日買った電子レンジは価格ばかりか質もよくて満足している。,지난번에 산 전자레인지는 가격뿐만 아니라 품질도 좋아서 만족하고 있다。,先日[せんじつ]買[か]った電子レンジ[でんしれんじ]は価格[かかく]ばかりか質[しつ]もよくて満足[まんぞく]している。
JLPT_N3_암기장::79p,[여러 품사 뒤에 접속하는 문형],～さえ～ば,~만 (한)다면,やせさえすればいいという考えはよくない。,마르기만 하면 된다는 생각은 좋지 않다。,やせさえすればいいという考[かんが]えはよくない。
JLPT_N3_암기장::79p,[여러 품사 뒤에 접속하는 문형],～さえ～ば,~만 (한)다면,彼が携帯を持ってさえいれば連絡はできる。,그가 핸드폰을 가지고 있기만 하면 연락은 할 수 있다。,彼[かれ]が携帯[けいたい]を持[も]ってさえいれば連絡[れんらく]はできる。
JLPT_N3_암기장::79p,[여러 품사 뒤에 접속하는 문형],～さえ～ば,~만 (한)다면,あの時、彼女さえいればよかったのに。,"그 때, 그녀만 있었더면 좋았을 걸。",あの時[とき]、彼女[かのじょ]さえいればよかったのに。
JLPT_N3_암기장::79p,[여러 품사 뒤에 접속하는 문형],～さえ～ば,~만 (한)다면,何が必要なのかさえわかればそれを買っていくのに。,무엇이 필요한지만 안다면 그걸 사서 갈 텐데。,何[なに]が必要[ひつよう]なのかさえわかればそれを買[か]っていくのに。
